model,case_id,scenario,query,expected_type,expected_cve_ids_joined,retrieval_found,top1_cve_id,top1_expected_match,duration_sec,summary,actions_joined,notes,score_summary_correctness_0_2,score_no_hallucination_0_2,score_no_hit_behavior_0_2,score_readability_0_2,comment
mistral,gen_case_001,exact_cve,CVE-2026-2441,hit,CVE-2026-2441,True,CVE-2026-2441,True,122.492,"В уязвимости CVE-2026-2441 в Google Chrome до версии 145.0.7632.75 присутствует Use after free в CSS, позволяющий удаленному атакующему выполнять код внутри песочницы с помощью специально созданной HTML-страницы.","Обновите Google Chrome до версии 145.0.7632.75 или более поздней, чтобы устранить эту уязвимость. | Повысить приоритет устранения, так как уязвимость входит в каталог KEV. | Проверить наличие патча или обновления у вендора.",Контекст содержит ссылку на исходный код показывающий эксплуатацию уязвимости.,,,,,
mistral,gen_case_002,exact_cve,CVE-2026-1731,hit,CVE-2026-1731,True,CVE-2026-1731,True,99.35,Уязвимость CVE-2026-1731 в BeyondTrust Remote Support (RS) и Privileged Remote Access (PRA) позволяет неавторизованному удаленному атакующему выполнять операционные системные команды в контексте пользователя сайта.,"Обновите BeyondTrust Remote Support и Privileged Remote Access до последних версий. | Проверьте, нет ли установленных старых версий этих программ на вашем сервере. | Повысить приоритет устранения, так как уязвимость входит в каталог KEV.",Контекст содержит ссылки на дополнительные ресурсы по уязвимости.,,,,,
mistral,gen_case_003,exact_cve,CVE-2026-20700,hit,CVE-2026-20700,True,CVE-2026-20700,True,65.114,"Уязвимость позволяет атакующему выполнять произвольный код, если он обладает возможностью записи в память.","Обновите iOS и iPadOS до версии 26.3 или более поздней. | Повысить приоритет устранения, так как уязвимость входит в каталог KEV. | Проверить наличие патча или обновления у вендора.",Уязвимость может быть эксплуатирована в более ранних версиях iOS.,,,,,
mistral,gen_case_004,exact_cve,CVE-2024-43468,hit,CVE-2024-43468,True,CVE-2024-43468,True,74.517,Уязвимость позволяет удаленному исполнению кода в Microsoft Configuration Manager,"Обновите Microsoft Configuration Manager до последней версии | Применить патч для устранения уязвимости CVE-2024-43468 | Повысить приоритет устранения, так как уязвимость входит в каталог KEV.",Уязвимость была опубликована Microsoft и CISA,,,,,
mistral,gen_case_005,exact_cve,CVE-2025-15556,hit,CVE-2025-15556,True,CVE-2025-15556,True,151.944,"Уязвимость в Notepad++ до версии 8.8.9 использует WinGUp обновлятор, который не проверяет криптографически скачиваемые метаданные и установщики обновлений. Это позволяет атакующему перехватить или перенаправить трафик обновления и выполнить произвольный код с правами пользователя.","Обновите Notepad++ до версии 8.8.9 или более поздней, чтобы получить исправление уязвимости. | Убедитесь, что вы используете безопасное сетевое соединение при обновлении. | Повысить приоритет устранения, так как уязвимость входит в каталог KEV.","В контексте не указано, требуется ли дополнительное действие для защиты от этой уязвимости.",,,,,
mistral,gen_case_006,exact_cve,CVE-2024-4671,hit,CVE-2024-4671,True,CVE-2024-4671,True,164.788,"Уязвимость CVE-2024-4671 в Google Chrome позволяет удаленному атакующему, который уже захватил процесс рендера, возможность выполнить эскападу из песочницы с помощью специально созданной HTML-страницы.","Обновите Google Chrome до версии 124.0.6367.201 или более поздней | Установите дополнительные средства защиты, такие как аддоны для браузера | Повысить приоритет устранения, так как уязвимость входит в каталог KEV.",Контекст содержит ссылки на официальные объявления об обновлении Google Chrome и Chromium,,,,,
mistral,gen_case_007,exact_cve,CVE-2024-0224,hit,CVE-2024-0224,True,CVE-2024-0224,True,102.557,Уязвимость CVE-2024-0224 в Google Chrome до версии 120.0.6099.199 позволяет удаленному атакующему использовать heap corruption через специально созданную HTML-страницу (уровень опасности: высокий).,Обновите Google Chrome до версии 120.0.6099.199 или более поздней. | При использовании необходимо быть осторожным при открытии HTML-страниц от неизвестных источников. | Проверить наличие патча или обновления у вендора.,Уязвимость связана с WebAudio в Google Chrome и позволяет удаленному атакующему использовать heap corruption.,,,,,
mistral,gen_case_008,exact_cve,CVE-2024-0225,hit,CVE-2024-0225,True,CVE-2024-0225,True,95.201,Уязвимость CVE-2024-0225 в Google Chrome до версии 120.0.6099.199 позволяет удаленному атакующему использовать heap corruption через специально созданную HTML-страницу (уровень опасности: высокий),Обновите Google Chrome до версии 120.0.6099.199 или более поздней | Применить стратегию защиты от использования после освобождения (Use-after-free) в вашем веб-приложении | Проверить наличие патча или обновления у вендора.,Уязвимость была обнаружена в WebGPU в Google Chrome,,,,,
mistral,gen_case_009,exact_cve,CVE-2024-0222,hit,CVE-2024-0222,True,CVE-2024-0222,True,81.713,"Уязвимость CVE-2024-0222 в Google Chrome позволяет удаленному атакующему, который уже захватил процесс рендера, использовать heap corruption с помощью специально созданной HTML-страницы.","Обновите Google Chrome до версии 120.0.6099.199 или более поздней | Проверить наличие патча или обновления у вендора. | Определить, используется ли уязвимый компонент в вашей инфраструктуре.",Уязвимость имеет высокую степень опасности,,,,,
mistral,gen_case_010,exact_cve,CVE-2024-20927,hit,CVE-2024-20927,True,CVE-2024-20927,True,86.722,Уязвимость в Oracle WebLogic Server (CVE-2024-20927) позволяет неавторизованному атакующему с сети через HTTP компрометировать сервер. Подвержены версии 12.2.1.4.0 и 14.1.1.0.0.,"Обновите Oracle WebLogic Server до неподверженной версии. | Установите патч безопасности, если он доступен. | Проверить наличие патча или обновления у вендора.",Контекст содержит ссылку на официальное объявление Oracle о безопасности.,,,,,
mistral,gen_case_011,text_query,что за CVE-2026-2441 и что делать,hit,CVE-2026-2441,True,CVE-2026-2441,True,113.948,"Уязвимость CVE-2026-2441 в Google Chrome позволяет удаленному атакующему выполнять произвольный код внутри песочницы, используя специально созданную HTML-страницу.","Обновите Google Chrome до версии 145.0.7632.75 или более поздней для защиты от этой уязвимости. | Не открывайте ссылки, которые могут содержать специально созданные HTML-страницы. | Повысить приоритет устранения, так как уязвимость входит в каталог KEV.",Контекст содержит ссылку на исходный код пробного показывателя уязвимости.,,,,,
mistral,gen_case_012,text_query,что за CVE-2026-1731 и что делать,hit,CVE-2026-1731,True,CVE-2026-1731,True,94.646,Уязвимость CVE-2026-1731 позволяет неавторизованному атакующему выполнять операционные команды на системе через BeyondTrust Remote Support (RS) и Privileged Remote Access (PRA).,"Обновите BeyondTrust Remote Support (RS) и Privileged Remote Access (PRA) до последней версии. | Проверьте, что на вашей системе не установлены старые версии этих программ. | Повысить приоритет устранения, так как уязвимость входит в каталог KEV.",Контекст содержит ссылки на официальные рекомендации BeyondTrust и CISA.,,,,,
