model,case_id,scenario,query,expected_type,expected_cve_ids_joined,retrieval_found,top1_cve_id,top1_expected_match,duration_sec,summary,actions_joined,notes,score_summary_correctness_0_2,score_no_hallucination_0_2,score_no_hit_behavior_0_2,score_readability_0_2,comment
qwen2.5:1.5b,gen_case_001,exact_cve,CVE-2026-2441,hit,CVE-2026-2441,True,CVE-2026-2441,True,46.93,"Google Chrome до версии 145.0.7632.75 включал уязвимость, которая позволяла атакеру выполнить код в сэндбоксе через поддельный HTML-страницы.","обновить Google Chrome до версии 145.0.7632.75 или выше | Повысить приоритет устранения, так как уязвимость входит в каталог KEV. | Проверить наличие патча или обновления у вендора.",Ответ сформирован на основе найденного локального контекста; детализация ограничена качеством локальной модели.,,,,,
qwen2.5:1.5b,gen_case_002,exact_cve,CVE-2026-1731,hit,CVE-2026-1731,True,CVE-2026-1731,True,27.283,Проблема связана с пред-authenticated ретранзиторным кодом выполнения в BeyondTrust Remote Support (RS) и некоторых старых версиях Privileged Remote Access (PRA). Уязвимость позволяет незарегистрированному удаленному атакеру выполнять команды операционной системы с правами пользователя.,"Повысить приоритет устранения, так как уязвимость входит в каталог KEV. | Проверить наличие патча или обновления у вендора. | Определить, используется ли уязвимый компонент в вашей инфраструктуре.",В контексте недостаточно информации для более детального анализа уязвимости.,,,,,
qwen2.5:1.5b,gen_case_003,exact_cve,CVE-2026-20700,hit,CVE-2026-20700,True,CVE-2026-20700,True,28.943,"Уязвимость в watchOS, tvOS, macOS Tahoe, visionOS, iOS и iPadOS версий до 26.3 может быть использована для выполнения атаки с помощью уязвимого состояния.","Обновить устройства до последней версии iOS или iPadOS. | Повысить приоритет устранения, так как уязвимость входит в каталог KEV. | Проверить наличие патча или обновления у вендора.","Уязвимость была исправлена в версиях watchOS, tvOS, macOS Tahoe, visionOS и iOS 26.3.",,,,,
qwen2.5:1.5b,gen_case_004,exact_cve,CVE-2024-43468,hit,CVE-2024-43468,True,CVE-2024-43468,True,21.332,Microsoft Configuration Manager Remote Code Execution Vulnerability,"Повысить приоритет устранения, так как уязвимость входит в каталог KEV. | Проверить наличие патча или обновления у вендора. | Определить, используется ли уязвимый компонент в вашей инфраструктуре.",В контексте недостаточно данных для более подробного анализа уязвимости.,,,,,
qwen2.5:1.5b,gen_case_005,exact_cve,CVE-2025-15556,hit,CVE-2025-15556,True,CVE-2025-15556,True,27.463,"Уязвимость в Notepad++, которая может привести к атаке с использованием обмана при обновлении через WinGUp.","обновить Notepad++ до версии 8.8.9 или выше | Повысить приоритет устранения, так как уязвимость входит в каталог KEV. | Проверить наличие патча или обновления у вендора.","Уязвимость не требует специфических действий, но рекомендуется обновлять Notepad++ до версии 8.8.9 или выше.",,,,,
qwen2.5:1.5b,gen_case_006,exact_cve,CVE-2024-4671,hit,CVE-2024-4671,True,CVE-2024-4671,True,24.583,Google Chrome 124.0.6367.201 renderer process存在使用后释放漏洞，允许远程攻击者通过恶意HTML页面执行沙箱逃逸。,"更新到最新版本的Google Chrome | Повысить приоритет устранения, так как уязвимость входит в каталог KEV. | Проверить наличие патча или обновления у вендора.",Ответ сформирован на основе найденного локального контекста; детализация ограничена качеством локальной модели.,,,,,
qwen2.5:1.5b,gen_case_007,exact_cve,CVE-2024-0224,hit,CVE-2024-0224,True,CVE-2024-0224,True,20.122,"Уязвимость в Google Chrome, связанная с использованием после удаления памяти (Use After Free) в WebAudio, позволяющая атакеру незначительно повредить систему.","Обновите Google Chrome до версии 120.0.6099.199 или выше. | Проверить наличие патча или обновления у вендора. | Определить, используется ли уязвимый компонент в вашей инфраструктуре.","Уязвимость была обнаружена в Google Chrome, а не в Chromium. В контексте нет данных о том, как именно можно воспользоваться этой уязвимостью.",,,,,
qwen2.5:1.5b,gen_case_008,exact_cve,CVE-2024-0225,hit,CVE-2024-0225,True,CVE-2024-0225,True,35.797,"Уязвимость в Google Chrome, связанная с использованием после удаления памяти (Use After Free) в WebGPU, позволяющая атакеру незначительно улучшить свои шансы на успешное выполнение хака.","Обновите Google Chrome до версии 120.0.6099.199 или выше. | Проверить наличие патча или обновления у вендора. | Определить, используется ли уязвимый компонент в вашей инфраструктуре.",Ответ сформирован на основе найденного локального контекста; детализация ограничена качеством локальной модели.,,,,,
qwen2.5:1.5b,gen_case_009,exact_cve,CVE-2024-0222,hit,CVE-2024-0222,True,CVE-2024-0222,True,69.2,"Уязвимость в Google Chrome, связанная с использованием после удаления памяти (Use After Free) в ANGLE, позволяющая атакеру, имеющему доступ к рендеринговому процессу, нанести ущерб через отдельный HTML-страницы.","обновить Google Chrome до последней версии | Проверить наличие патча или обновления у вендора. | Определить, используется ли уязвимый компонент в вашей инфраструктуре.",Ответ сформирован на основе найденного локального контекста; детализация ограничена качеством локальной модели.,,,,,
qwen2.5:1.5b,gen_case_010,exact_cve,CVE-2024-20927,hit,CVE-2024-20927,True,CVE-2024-20927,True,19.593,Oracle WebLogic Server 12.2.1.4.0 и 14.1.1.0.0版本存在严重漏洞，攻击者可通过网络访问轻松利用该漏洞。成功攻击可能导致对关键数据或所有可访问的Oracle WebLogic Server数据的未经授权创建、删除或修改访问。,"启用WebLogic服务器的安全配置 | Проверить наличие патча или обновления у вендора. | Определить, используется ли уязвимый компонент в вашей инфраструктуре.",由于缺乏详细信息，无法提供更具体的行动建议。,,,,,
qwen2.5:1.5b,gen_case_011,text_query,что за CVE-2026-2441 и что делать,hit,CVE-2026-2441,True,CVE-2026-2441,True,19.994,"Уязвимость в Google Chrome, которая позволяет атакеру выполнить код вsandboxе через поддельный HTML страницы.","обновить Google Chrome до последней версии | Повысить приоритет устранения, так как уязвимость входит в каталог KEV. | Проверить наличие патча или обновления у вендора.",Ответ сформирован на основе найденного локального контекста; детализация ограничена качеством локальной модели.,,,,,
qwen2.5:1.5b,gen_case_012,text_query,что за CVE-2026-1731 и что делать,hit,CVE-2026-1731,True,CVE-2026-1731,True,28.279,"Уязвимость в BeyondTrust Remote Support (RS) и некоторых старых версиях Privileged Remote Access (PRA) может привести к выполнению операционных команд с высокой степенью аутентификации, если злоумышленник отправит специально подготовленные запросы.","отключить или удалить устаревшие версии PRA | Повысить приоритет устранения, так как уязвимость входит в каталог KEV. | Проверить наличие патча или обновления у вендора.","Уязвимость может быть использована для выполнения операционных команд с высокой степенью аутентификации, что требует внимательного подхода к обновлению и проверке программного обеспечения.",,,,,
qwen2.5:1.5b,gen_case_013,text_query,что за CVE-2026-20700 и что делать,hit,CVE-2026-20700,True,CVE-2026-20700,True,22.911,Уязвимость CVE-2026-20700 в Apple iOS 26.3 может быть использована для выполнения кода с помощью атаки на управляемый память.,"обновить iOS до версии 26.3 | Повысить приоритет устранения, так как уязвимость входит в каталог KEV. | Проверить наличие патча или обновления у вендора.",Ответ сформирован на основе найденного локального контекста; детализация ограничена качеством локальной модели.,,,,,
qwen2.5:1.5b,gen_case_014,text_query,beyondtrust pre-auth remote code execution,hit,CVE-2026-1731,True,CVE-2026-1731,True,33.898,BeyondTrust Remote Support (RS) и некоторые старые версии Privileged Remote Access (PRA) содержат критический предварительный аутентификационный вредоносный код-выполнение уязвимость. Специально сформированные запросы могут позволить независящему удаленному атакеру выполнить команды операционной системы в контексте пользователя сайта.,"обновить или обновлять оборудование и программное обеспечение BeyondTrust | обратиться к службе поддержки BeyondTrust для получения дополнительных инструкций по исправлению уязвимости | Повысить приоритет устранения, так как уязвимость входит в каталог KEV.",В контексте недостаточно данных для более детального анализа уязвимости.,,,,,
qwen2.5:1.5b,gen_case_015,text_query,beyondtrust rs pra command injection,hit,CVE-2026-1731,True,CVE-2025-5309,False,23.256,"Проблема в функции chat Remote Support (RS) и Privileged Remote Access (PRA) может быть использована для внедрения команд, которые выполняются как пользователь.","Обновить RS и PRA продукты с последними обновлениями безопасности. | Проверить наличие патча или обновления у вендора. | Определить, используется ли уязвимый компонент в вашей инфраструктуре.","Проблема связана с Server-Side Template Injection, который может быть использован для выполнения кода на стороне сервера.",,,,,
qwen2.5:1.5b,gen_case_016,text_query,google chrome visuals use-after-free,hit,CVE-2024-4671,True,CVE-2024-4671,True,29.811,Google Chrome Visuals存在使用后释放漏洞，允许远程攻击者通过恶意HTML页面执行任意代码。,"更新到最新版本的Google Chrome | Повысить приоритет устранения, так как уязвимость входит в каталог KEV. | Проверить наличие патча или обновления у вендора.",由于数据有限，无法提供更详细的行动建议。,,,,,
qwen2.5:1.5b,gen_case_017,text_query,chromium css use-after-free,hit,CVE-2026-2441,True,CVE-2026-2441,True,20.923,Google Chrome CSS use-after-free漏洞影响了Chrome浏览器的CSS渲染，允许远程攻击者通过精心设计的HTML页面执行任意代码。,"更新到最新版本的Google Chrome以修复此问题 | Повысить приоритет устранения, так как уязвимость входит в каталог KEV. | Проверить наличие патча или обновления у вендора.",Ответ сформирован на основе найденного локального контекста; детализация ограничена качеством локальной модели.,,,,,
qwen2.5:1.5b,gen_case_018,text_query,google chrome webaudio use-after-free,hit,CVE-2024-0224,True,CVE-2024-0224,True,30.739,"Google Chrome в версии до 120.0.6099.199 может быть уязвимым из-за использования после свободного буфера WebAudio, что позволяет атакующему перехватывать и использовать данные, которые были ранее освобождены.","Обновить Google Chrome до последней версии | Проверить наличие патча или обновления у вендора. | Определить, используется ли уязвимый компонент в вашей инфраструктуре.","Уязвимость связана с использованием WebAudio в Google Chrome до версии 120.0.6099.199, что может привести к утечке данных и потенциальной корректировке heap-коррозии.",,,,,
qwen2.5:1.5b,gen_case_019,text_query,google chrome webgpu use-after-free,hit,CVE-2024-0225,True,CVE-2024-0225,True,25.72,"Google Chrome WebGPU в версии до 120.0.6099.199 подвергается уязвимости, где удаленный атакер мог бы использовать сгенерированный HTML страницу для эксплуатации корректировок heap через использование после свободы.","Обновить Google Chrome до последней версии | Проверить наличие патча или обновления у вендора. | Определить, используется ли уязвимый компонент в вашей инфраструктуре.",Ответ сформирован на основе найденного локального контекста; детализация ограничена качеством локальной модели.,,,,,
qwen2.5:1.5b,gen_case_020,text_query,oracle weblogic remote deserialization,hit,CVE-2024-20927 | CVE-2024-20931 | CVE-2024-20986,True,CVE-2024-20927,True,26.045,"Oracle WebLogic Server может быть взломан с помощью deserialization, что позволяет уязвленному клиенту создавать или изменять данные в контексте Oracle WebLogic Server.","Проверить наличие патча или обновления у вендора. | Определить, используется ли уязвимый компонент в вашей инфраструктуре. | Ограничить внешнюю доступность уязвимого сервиса до устранения проблемы.",В контексте недостаточно данных для более детального анализа уязвимости.,,,,,
qwen2.5:1.5b,gen_case_021,no_hit,CVE-1999-0000,no_hit,,False,,True,12.454,По запросу не найден релевантный контекст в локальном корпусе.,,Надёжное совпадение в корпусе не найдено. Результат не следует трактовать как подтверждённую информацию по конкретной уязвимости.,,,,,
qwen2.5:1.5b,gen_case_022,no_hit,что за CVE-1999-0000 и что делать,no_hit,,False,,True,11.291,По запросу не найден релевантный контекст в локальном корпусе.,,Надёжное совпадение в корпусе не найдено. Результат не следует трактовать как подтверждённую информацию по конкретной уязвимости.,,,,,
qwen2.5:1.5b,gen_case_023,no_hit,какая-то несуществующая уязвимость blabla-1234,no_hit,,False,,True,14.601,По запросу не найден релевантный контекст в локальном корпусе.,,Надёжное совпадение в корпусе не найдено. Результат не следует трактовать как подтверждённую информацию по конкретной уязвимости.,,,,,
qwen2.5:1.5b,gen_case_024,no_hit,ничего не найдено по imaginary cve,no_hit,,False,,True,14.284,По запросу не найден релевантный контекст в локальном корпусе.,,Надёжное совпадение в корпусе не найдено. Результат не следует трактовать как подтверждённую информацию по конкретной уязвимости.,,,,,
