model,case_id,scenario,query,expected_type,expected_cve_ids_joined,retrieval_found,top1_cve_id,top1_expected_match,duration_sec,summary,actions_joined,notes,score_summary_correctness_0_2,score_no_hallucination_0_2,score_no_hit_behavior_0_2,score_readability_0_2,comment
gemma3:4b,gen_case_001,exact_cve,CVE-2026-2441,hit,CVE-2026-2441,True,CVE-2026-2441,True,105.229,Уязвимость use-after-free в CSS в Google Chrome позволяет злоумышленнику выполнить произвольный код внутри sandbox через специально созданную HTML-страницу. Уязвимость имеет высокий уровень серьезности.,"Обновите Google Chrome до версии 145.0.7632.75 или новее. | Проверьте наличие уязвимости в ваших системах, использующих Google Chrome. | Изучите предоставленные ссылки для получения дополнительной информации и примеров эксплуатации.",Предоставлен контекст только для CVE-2026-2441.,,,,,
gemma3:4b,gen_case_002,exact_cve,CVE-2026-1731,hit,CVE-2026-1731,True,CVE-2026-1731,True,66.912,"BeyondTrust Remote Support и некоторые старые версии Privileged Remote Access содержат критическую уязвимость, позволяющую злоумышленнику выполнить операционные команды в контексте пользователя путем отправки специально сформированных запросов. Это может привести к удаленному выполнению кода без аутентификации.","Оценить использование BeyondTrust Remote Support и Privileged Remote Access. | Применить исправления, указанные в security advisories BeyondTrust. | Проверить системы на наличие признаков эксплуатации CVE-2026-1731.",Информация ограничена предоставленным документом.,,,,,
gemma3:4b,gen_case_003,exact_cve,CVE-2026-20700,hit,CVE-2026-20700,True,CVE-2026-20700,True,73.416,"Уязвимость CVE-2026-20700 представляет собой проблему с памятью, приводящую к возможности выполнения произвольного кода. Эта уязвимость исправлена в watchOS 26.3, tvOS 26.3, macOS Tahoe 26.3, visionOS 26.3, iOS 26.3 и iPadOS 26.3.",Обновите до версии iOS 26.3 или выше | Обновите до версии watchOS 26.3 или выше | Обновите до версии tvOS 26.3 или выше,"Указано, что уязвимость была исправлена в конкретных версиях Apple OS.  Указана связь с CVE-2025-14174 и CVE-2025-43529.",,,,,
gemma3:4b,gen_case_004,exact_cve,CVE-2024-43468,hit,CVE-2024-43468,True,CVE-2024-43468,True,37.447,Обнаружена уязвимость Remote Code Execution в Microsoft Configuration Manager. Уязвимость позволяет злоумышленникам выполнять произвольный код на уязвимых системах.,"Оценить влияние уязвимости на инфраструктуру. | Применить исправления, предоставленные Microsoft. | Мониторить наличие новых индикаторов компрометации.",Уязвимость классифицирована как CWE-707 - Попытка использовать неверные предположения о безопасности.,,,,,
gemma3:4b,gen_case_005,exact_cve,CVE-2025-15556,hit,CVE-2025-15556,True,CVE-2025-15556,True,47.452,"Уязвимость CVE-2025-15556 в Notepad++ позволяет злоумышленнику выполнить произвольный код с правами пользователя, если он перехватит или перенаправит трафик обновления, заставив загрузить и выполнить установщик, контролируемый злоумышленником. Это происходит из-за отсутствия криптографической проверки целостности обновлений при использовании WinGUp updater.","Обновите Notepad++ до версии 8.8.9 или новее. | Проверьте, используется ли WinGUp updater. | Установите средства мониторинга сетевого трафика для обнаружения подозрительной активности при обновлении.",Указана конкретная версия Notepad++ для исправления уязвимости.,,,,,
gemma3:4b,gen_case_006,exact_cve,CVE-2024-4671,hit,CVE-2024-4671,True,CVE-2024-4671,True,51.423,"Уязвимость CVE-2024-4671 в Google Chrome (Chromium) представляет собой уязвимость Use After Free в компоненте Visuals. Она позволяет злоумышленнику, скомпрометировавшему процесс рендерера, выполнить sandbox escape через специально созданную HTML-страницу.","Обновите Google Chrome до версии 124.0.6367.201 или новее. | Проверьте, использует ли ваше приложение или веб-сайт компоненты Visuals. | Примите меры для предотвращения компрометации процесса рендерера.",Уязвимость связана с sandbox escape.  Информация взята из предоставленного документа.,,,,,
gemma3:4b,gen_case_007,exact_cve,CVE-2024-0224,hit,CVE-2024-0224,True,CVE-2024-0224,True,48.591,Уязвимость CVE-2024-0224 представляет собой использование после освобождения памяти в WebAudio в Google Chrome. Это позволяет злоумышленнику потенциально эксплуатировать повреждение кучи через специально созданную HTML-страницу.,"Обновите Google Chrome до версии 120.0.6099.199 или новее. | Проверьте веб-приложения, использующие WebAudio, на наличие уязвимости. | Рассмотрите возможность использования средств мониторинга безопасности для обнаружения попыток эксплуатации.",Уязвимость имеет высокий уровень серьезности (High) согласно Chromium security severity.,,,,,
gemma3:4b,gen_case_008,exact_cve,CVE-2024-0225,hit,CVE-2024-0225,True,CVE-2024-0225,True,45.426,Уязвимость CVE-2024-0225 представляет собой использование после освобождения памяти в WebGPU в Google Chrome. Это позволяет злоумышленнику потенциально эксплуатировать повреждение кучи через специально созданную HTML-страницу.,"Обновите Google Chrome до версии 120.0.6099.199 или новее. | Проверьте наличие уязвимости в используемых приложениях, использующих WebGPU. | Изучите подробности уязвимости на сайте Chromereleases и crbug.com.",Уязвимость имеет высокую серьезность (High) согласно Chromium security severity.,,,,,
gemma3:4b,gen_case_009,exact_cve,CVE-2024-0222,hit,CVE-2024-0222,True,CVE-2024-0222,True,45.348,"Уязвимость CVE-2024-0222 представляет собой использование после освобождения памяти в ANGLE в Google Chrome. Это позволяет злоумышленнику, скомпрометировавшему процесс рендерера, потенциально эксплуатировать повреждение кучи через специально созданную HTML-страницу.","Обновите Google Chrome до версии 120.0.6099.199 или новее. | Проверьте, использует ли ваше приложение ANGLE. | Примите меры для ограничения доступа злоумышленников к процессу рендерера.",Уязвимость имеет высокий уровень серьезности (High) в Chromium.,,,,,
gemma3:4b,gen_case_010,exact_cve,CVE-2024-20927,hit,CVE-2024-20927,True,CVE-2024-20927,True,35.65,"Уязвимость в Oracle WebLogic Server позволяет неаутентифицированному атакующему с сетевым доступом через HTTP скомпрометировать сервер. Успешные атаки могут привести к несанкционированному созданию, удалению или изменению доступа к критическим данным.","Проверьте версии Oracle WebLogic Server, включая 12.2.1.4.0 и 14.1.1.0.0. | Оцените потенциальное воздействие на другие продукты, если уязвимость может привести к изменению области действия. | Примите меры для предотвращения несанкционированного доступа через HTTP.",Указана оценка CVSS 3.1 Base Score 8.6 (Integrity impacts).,,,,,
